club, country
Juventus, ITA
Bayern München, GER
Red Star Belgrade, YUG
Real Madrid, ESP
FC Barcelona, ESP
Anderlecht, BEL
FC Porto, POR
Steaua Bucuresti, ROU
Sporting CP Lisbon, POR
Benfica, POR
Internazionale, ITA
Dundee United, SCO
KV Mechelen, BEL
Girondins Bordeaux, FRA
Glasgow Rangers, SCO
AC Milan, ITA
Napoli, ITA
Brøndby IF, DEN
Torpedo Moscow, URS
Olympique Marseille, FRA
Rapid Wien, AUT
Spartak Moscow, URS
Dinamo Kiev, URS
IFK Göteborg, SWE
Werder Bremen, GER
Aberdeen, SCO
Malmö FF, SWE
Sampdoria, ITA
Austria Wien, AUT
PSV Eindhoven, NED
Dynamo Dresden, GDR
FC Tirol Innsbruck, AUT
Club Brugge, BEL
Xamax Neuchâtel, SUI
Bayer Leverkusen, GER
Partizan Belgrade, YUG
Dinamo Bucuresti, ROU
CSKA Sofia, BUL
Atlético Madrid, ESP
Celtic, SCO
Borussia Dortmund, GER
Ajax, NED
Admira Wacker, AUT
1.FC Köln, GER
FC Liège, BEL
Hearts FC, SCO
Olympiakos Piraeus, GRE
BFC Dynamo Berlin, GDR
Panathinaikos, GRE
Galatasaray, TUR
FC Groningen, NED
Real Sociedad, ESP
Velez Mostar, YUG
Dinamo Minsk, URS
AS Roma, ITA
Honvéd Budapest, HUN
AS Monaco, FRA
VfB Stuttgart, GER
Legia Warsaw, POL
Lokomotive Leipzig, GDR
Vitória Guimarães, POR
Besiktas, TUR
Sparta Praha, TCH
FC Sion, SUI
Dukla Praha, TCH
Lech Poznan, POL
Atalanta, ITA
Universitatea Craiova, ROU
CF Os Belenenses, POR
Victoria Bucuresti, ROU
Dnepr Dnepropetrovsk, URS
GKS Katowice, POL
Feyenoord, NED
Eintracht Frankfurt, GER
Glentoran, NIR
First Vienna FC, AUT
Real Zaragoza, ESP
Górnik Zabrze, POL
TJ Vítkovice, TCH
RoPS Rovaniemi, FIN
Fiorentina, ITA
AGF Aarhus, DEN
AJ Auxerre, FRA
Hamburger SV, GER
Levski Sofia, BUL
Valencia, ESP
Rosenborg BK, NOR
Wrexham, WAL
17 Nëntori Tirana, ALB
Trakia Plovdiv, BUL
Toulouse FC, FRA
Manchester United, ENG
Omonia Nicosia, CYP
Grasshoppers Zürich, SUI
Valur Reykjavik, ISL
TPS Turku, FIN
Linfield Belfast, NIR
HJK Helsinki, FIN
Athletic Bilbao, ESP
Sportul Studentesc, ROU
KS Flamurtari Vlorë, ALB
