club, country
Borussia Mönchengladbach, GER
Bayern München, GER
Ajax, NED
Leeds United, ENG
Juventus, ITA
Feyenoord, NED
Red Star Belgrade, YUG
Celtic, SCO
Real Madrid, ESP
Atlético Madrid, ESP
1.FC Köln, GER
Liverpool, ENG
Benfica, POR
Újpest Dózsa, HUN
Carl Zeiss Jena, GDR
Sporting CP Lisbon, POR
Internazionale, ITA
Vitória Setúbal, POR
FC Twente Enschede, NED
AC Milan, ITA
Standard Liège, BEL
Tottenham Hotspur, ENG
Dinamo Kiev, URS
Spartak Trnava, TCH
Legia Warsaw, POL
Anderlecht, BEL
Hajduk Split, YUG
Dynamo Dresden, GDR
CSKA Sofia, BUL
Club Brugge, BEL
FC Barcelona, ESP
Ferencváros, HUN
Hibernian, SCO
Malmö FF, SWE
Wolverhampton Wanderers, ENG
PAOK Thessaloniki, GRE
Górnik Zabrze, POL
Åtvidabergs FF, SWE
PSV Eindhoven, NED
Olympique Marseille, FRA
Hamburger SV, GER
FC Zürich, SUI
Spartak Moscow, URS
Glasgow Rangers, SCO
Dinamo Bucuresti, ROU
Olympiakos Piraeus, GRE
Fenerbahçe, TUR
Ruch Chorzow, POL
Slovan Bratislava, TCH
Aberdeen, SCO
Ararat Yerevan, URS
Panathinaikos, GRE
Chelsea, ENG
Honvéd Budapest, HUN
FC Nantes, FRA
Grasshoppers Zürich, SUI
Bologna, ITA
Cardiff City, WAL
Lokomotiv Plovdiv, BUL
Universitatea Craiova, ROU
Rapid Wien, AUT
Torino, ITA
FC Basel, SUI
Hertha BSC, GER
OFK Belgrade, YUG
Arsenal, ENG
Derby County, ENG
1.FC Magdeburg, GDR
Baník Ostrava, TCH
AS Saint-Étienne, FRA
Fiorentina, ITA
BFC Dynamo Berlin, GDR
Dinamo Moscow, URS
Ipswich Town, ENG
Wacker Innsbruck, AUT
Athletic Bilbao, ESP
Valencia, ESP
FC Beroe Stara Zagora, BUL
Steaua Bucuresti, ROU
Napoli, ITA
Dinamo Zagreb, YUG
Sparta Rotterdam, NED
B1903 København, DEN
Eskisehirspor, TUR
Dinamo Tbilisi, URS
Dukla Praha, TCH
RWD Molenbeek, BEL
Olympique Lyon, FRA
FC Sion, SUI
Stoke City, ENG
Sturm Graz, AUT
Dundee United, SCO
Gwardia Warsaw, POL
FC Porto, POR
VSS Kosice, TCH
Slavia Sofia, BUL
Arges Pitesti, ROU
Waterford, IRL
Fortuna Düsseldorf, GER
Partizan Belgrade, YUG
Sparta Praha, TCH
Velez Mostar, YUG
Sliema Wanderers, MLT
Reipas Lahti, FIN
Austria Wien, AUT
AEK Athens, GRE
Manchester City, ENG
Schalke 04, GER
Rapid Bucuresti, ROU
UT Arad, ROU
VfB Stuttgart, GER
FC Amsterdam, NED
Randers Freja, DEN
Djurgårdens IF, SWE
Aris Thessaloniki, GRE
Sunderland AFC, ENG
Lazio, ITA
Galatasaray, TUR
Strømsgodset IF, NOR
GD CUF Barreiro, POR
