club, country
Juventus, ITA
Ajax, NED
Bayern München, GER
AC Parma, ITA
Lazio, ITA
Borussia Dortmund, GER
Internazionale, ITA
Paris Saint-Germain, FRA
FC Barcelona, ESP
Real Madrid, ESP
Manchester United, ENG
Atlético Madrid, ESP
AC Milan, ITA
AS Monaco, FRA
Spartak Moscow, RUS
Chelsea, ENG
Feyenoord, NED
Girondins Bordeaux, FRA
AS Roma, ITA
Schalke 04, GER
Bayer Leverkusen, GER
AJ Auxerre, FRA
FC Porto, POR
PSV Eindhoven, NED
Real Betis, ESP
Real Zaragoza, ESP
Olympique Lyon, FRA
Benfica, POR
FC Nantes, FRA
Liverpool, ENG
Bologna, ITA
Fiorentina, ITA
Lokomotiv Moscow, RUS
Deportivo La Coruña, ESP
1.FC Kaiserslautern, GER
Olympique Marseille, FRA
Vicenza, ITA
Slavia Praha, CZE
Rosenborg BK, NOR
Athletic Bilbao, ESP
VfB Stuttgart, GER
Panathinaikos, GRE
Valencia, ESP
Club Brugge, BEL
Dinamo Kiev, UKR
Arsenal, ENG
Aston Villa, ENG
Newcastle United, ENG
Real Mallorca, ESP
Tenerife, ESP
Borussia Mönchengladbach, GER
Sampdoria, ITA
Brøndby IF, DEN
AEK Athens, GRE
Celta de Vigo, ESP
RC Lens, FRA
Olympiakos Piraeus, GRE
Werder Bremen, GER
Karlsruher SC, GER
Napoli, ITA
Rapid Wien, AUT
Real Sociedad, ESP
Eintracht Frankfurt, GER
FC Metz, FRA
Udinese, ITA
RC Strasbourg, FRA
Roda JC Kerkrade, NED
Galatasaray, TUR
Steaua Bucuresti, ROU
Sevilla, ESP
Sporting CP Lisbon, POR
Grasshoppers Zürich, SUI
Espanyol, ESP
Hamburger SV, GER
IFK Göteborg, SWE
Besiktas, TUR
TSV 1860 München, GER
VfL Bochum, GER
Dinamo Moscow, RUS
Real Valladolid, ESP
Sparta Praha, CZE
Anderlecht, BEL
Olympique Nimes, FRA
Nottingham Forest, ENG
Vitesse Arnhem, NED
OGC Nice, FRA
SC Bastia, FRA
AS Cannes, FRA
Dinamo Zagreb, CRO
Trabzonspor, TUR
Heerenveen, NED
FC Twente Enschede, NED
Sporting Braga, POR
Willem II Tilburg, NED
Ferencváros, HUN
MSV Duisburg, GER
SC Freiburg, GER
Blackburn Rovers, ENG
Rotor Volgograd, RUS
FC København, DEN
Panionios, GRE
Glasgow Rangers, SCO
Leeds United, ENG
Everton, ENG
En Avant Guingamp, FRA
Montpellier, FRA
OB Odense, DEN
Boavista, POR
Sturm Graz, AUT
Legia Warsaw, POL
Varteks Varazdin, CRO
Hajduk Split, CRO
FC Sion, SUI
Vitória Guimarães, POR
Celtic, SCO
Grazer AK, AUT
Austria Salzburg, AUT
Fenerbahçe, TUR
SK Brann Bergen, NOR
AIK Stockholm, SWE
FC Zürich, SUI
Alania Vladikavkaz, RUS
AGF Aarhus, DEN
OFI Heraklion, GRE
PAOK Thessaloniki, GRE
Maritimo Funchal, POR
SV Ried, AUT
Admira Wacker, AUT
CSKA Moscow, RUS
Hradec Kralove, CZE
Germinal Ekeren, BEL
Widzew Lódz, POL
FC Tirol Innsbruck, AUT
Austria Wien, AUT
Chernomorets Odesa, UKR
Rapid Bucuresti, ROU
Dinamo Tbilisi, GEO
Tekstilschik Kamyshin, RUS
Vålerengen IF, NOR
Helsingborg IF, SWE
Aris Thessaloniki, GRE
Kocaelispor, TUR
Xamax Neuchâtel, SUI
Torpedo Moscow, RUS
Racing Genk, BEL
Eendracht Aalst, BEL
Halmstads BK, SWE
AaB Aalborg, DEN
Slovan Bratislava, SVK
Shakhtar Donetsk, UKR
Tromsø IL, NOR
FK Jablonec, CZE
Wisla Kraków, POL
GKS Katowice, POL
FC Lugano, SUI
Lillestrøm SK, NOR
MTK Budapest, HUN
Sigma Olomouc, CZE
Viktoria Zizkov, CZE
Maccabi Haifa, ISR
Trelleborgs FF, SWE
Vejle BK, DEN
Silkeborg IF, DEN
Aberdeen, SCO
NK Zagreb, CRO
National Bucuresti, ROU
Lausanne Sports, SUI
Servette FC Genève, SUI
Bodø/Glimt, NOR
Lierse SK, BEL
Cercle Brugge, BEL
Seraing, BEL
Charleroi, BEL
Dinamo Minsk, BLR
Lyngby BK, DEN
Gloria Bistrita, ROU
FC Aarau, SUI
Viking Stavanger, NOR
RWD Molenbeek, BEL
Standard Liège, BEL
Malmö FF, SWE
HJK Helsinki, FIN
Olimpija Ljubljana, SVN
Apollon Limassol, CYP
Raith Rovers, SCO
Dundee United, SCO
Red Star Belgrade, SRB
Honvéd Budapest, HUN
Bekescsabai Elore, HUN
LKS Lodz, POL
Ruch Chorzow, POL
Górnik Zabrze, POL
Anorthosis Famagusta, CYP
Hearts FC, SCO
Kilmarnock, SCO
Spartak Trnava, SVK
Tatran Presov, SVK
Petrolul Ploiesti, ROU
Dinamo Bucuresti, ROU
Újpest TE, HUN
Beitar Jerusalem, ISR
NK Primorje, SVN
APOEL Nicosia, CYP
1.FC Kosice, SVK
Maccabi Tel-Aviv, ISR
NK Maribor, SVN
AEK Larnaca, CYP
Partizan Belgrade, SRB
Dinamo Batumi, GEO
Hapoel Petah-Tikva, ISR
MyPa-47, FIN
Skonto Riga, LVA
Zimbru Chisinau, MDA
CSKA Sofia, BUL
Lokomotiv Sofia, BUL
Slavia Mozyr, BLR
IA Akranes, ISL
Litex Lovech, BUL
Botev Plovdiv, BUL
Zalgiris Vilnius, LTU
Metalurgs Liepaja, LVA
KR Reykjavik, ISL
Vardar Skopje, MKD
Linfield Belfast, NIR
Barry Town, WAL
