club, country
Liverpool, ENG
FC Barcelona, ESP
Bayern München, GER
Spartak Moscow, URS
Juventus, ITA
Anderlecht, BEL
Real Madrid, ESP
Dundee United, SCO
Benfica, POR
Hamburger SV, GER
FC Porto, POR
Standard Liège, BEL
Aberdeen, SCO
AS Roma, ITA
Internazionale, ITA
IFK Göteborg, SWE
Tottenham Hotspur, ENG
Sparta Praha, TCH
Austria Wien, AUT
CSKA Sofia, BUL
Rapid Wien, AUT
Universitatea Craiova, ROU
1.FC Köln, GER
Bohemians Praha, TCH
Sporting CP Lisbon, POR
Celtic, SCO
Glasgow Rangers, SCO
Lokomotive Leipzig, GDR
BFC Dynamo Berlin, GDR
Dynamo Dresden, GDR
Feyenoord, NED
Dinamo Kiev, URS
Servette FC Genève, SUI
Red Star Belgrade, YUG
1.FC Kaiserslautern, GER
Manchester United, ENG
Widzew Lódz, POL
Dinamo Tbilisi, URS
Baník Ostrava, TCH
AZ Alkmaar, NED
Carl Zeiss Jena, GDR
Hajduk Split, YUG
Girondins Bordeaux, FRA
SK Beveren, BEL
PSV Eindhoven, NED
Aston Villa, ENG
Ajax, NED
Levski-Spartak Sofia, BUL
Malmö FF, SWE
Paris Saint-Germain, FRA
Grasshoppers Zürich, SUI
Valencia, ESP
Radnicki Nis, YUG
VfB Stuttgart, GER
Trabzonspor, TUR
Olympiakos Piraeus, GRE
Dukla Praha, TCH
PAOK Thessaloniki, GRE
Dinamo Bucuresti, ROU
Panathinaikos, GRE
KSC Lokeren, BEL
Werder Bremen, GER
Ipswich Town, ENG
Real Sociedad, ESP
Omonia Nicosia, CYP
Honvéd Budapest, HUN
THOR Waterschei, BEL
Dinamo Moscow, URS
Dinamo Minsk, URS
FC Nantes, FRA
Shakhtar Donetsk, URS
Partizan Belgrade, YUG
AE Larissa, GRE
Borussia Mönchengladbach, GER
FC Vorwärts Frankfurt, GDR
ETO Györ, HUN
Southampton FC, ENG
AS Monaco, FRA
Dinamo Zagreb, YUG
AS Saint-Étienne, FRA
1.FC Magdeburg, GDR
Újpest Dózsa, HUN
Nottingham Forest, ENG
FC Sochaux-Montbéliard, FRA
Fiorentina, ITA
Trakia Plovdiv, BUL
TJ Internacional, TCH
Aris Thessaloniki, GRE
FC Utrecht, NED
FC Zürich, SUI
Eintracht Frankfurt, GER
Legia Warsaw, POL
Everton, ENG
Videoton Fehérvár, HUN
Wacker Innsbruck, AUT
AA Gent, BEL
Shamrock Rovers, IRL
Lech Poznan, POL
17 Nëntori Tirana, ALB
Atlético Madrid, ESP
Ferencváros, HUN
Xamax Neuchâtel, SUI
Sturm Graz, AUT
Sevilla, ESP
FK Sarajevo, YUG
Lyngby BK, DEN
FC Sion, SUI
Linfield Belfast, NIR
Athletic Bilbao, ESP
Glentoran, NIR
